NICE recommendation,Guideline reference,Year of recommendation,Is the recommendation relevant?,Current activity/evidence,Recommendation met?,Actions needed to implement recommendation,Is there a risk associated with not implementing this recommendation?,Is there a cost or saving?,Deadline,Lead
1.1  Principles of care for people with generalised anxiety disorder (GAD),,,,,,,,,,
"For people with GAD who have a mild learning disability or mild acquired cognitive impairment, offer the same interventions as for other people with GAD, adjusting the method of delivery or duration of the intervention if necessary to take account of the disability or impairment. ",1.1.1,2011,,,,,,,,
"When assessing or offering an intervention to people with GAD and a moderate to severe learning disability or moderate to severe acquired cognitive impairment, consider consulting with a relevant specialist. ",1.1.2,2011,,,,,,,,
1.2  Stepped care for people with GAD,,,,,,,,,,
"A stepped-care model (shown below) is used to organise the provision of services and to help people with GAD, their families, carers and practitioners to choose the most effective interventions. ",,,,,,,,,,
"Follow the stepped-care model, offering the least intrusive, most effective intervention first. ",1.2.1,2011,,,,,,,,
Step 1: All known and suspected presentations of GAD  ,,,,,,,,,,
Identification ,,,,,,,,,,
"Be alert to possible anxiety disorders (particularly in people with a past history of an anxiety disorder, possible somatic symptoms of an anxiety disorder or in those who have experienced a recent traumatic event). Consider asking the person about their feelings of anxiety and their ability to stop or control worry, using the 2-item Generalized Anxiety Disorder scale (GAD-2). ",1.2.2,2011,,,,,,,,
Identify and communicate the diagnosis of GAD as early as possible to help people understand the disorder and start effective treatment promptly. ,1.2.3,,,,,,,,,
"Consider the diagnosis of GAD in people presenting with anxiety or significant worry, and in people who attend primary care frequently who:
•	have a chronic physical health problem or 
•	do not have a physical health problem but are seeking reassurance about somatic symptoms (particularly older people and people from minority ethnic groups) or
•	are repeatedly worrying about a wide range of different issues. ",1.2.4,2011,,,,,,,,
"When a person with known or suspected GAD attends primary care seeking reassurance about a chronic physical health problem or somatic symptoms and/or repeated worrying, consider with the person whether some of their symptoms may be due to GAD. ",1.2.5,2011,,,,,,,,
Assessment and education,,,,,,,,,,
"For people who may have GAD, conduct a comprehensive assessment that does not rely solely on the number, severity and duration of symptoms, but also considers the degree of distress and functional impairment. ",1.2.6,2011,,,,,,,,
"As part of the comprehensive assessment, consider how the following factors might have affected the development, course and severity of the person's GAD:
•	any comorbid depressive disorder or other anxiety disorder
•	any comorbid substance misuse
•	any comorbid medical condition
•	a history of mental health disorders
•	past experience of, and response to, treatments. 

Be aware when prescribing selective serotonin reuptake inhibitors (SSRIs) of the need to ask about cocaine use when considering drug–drug interactions, and the need to avoid concurrent use of multiple serotonergic drugs. Follow the Medicines and Healthcare products Regulatory Agency (MHRA) safety advice on citalopram.  ",1.2.7,"2011, amended 2020",,,,,,,,
"As part of the comprehensive assessment, consider how the following factors might have affected the development, course and severity of the person's GAD:
•	any comorbid depressive disorder or other anxiety disorder
•	any comorbid substance misuse
•	any comorbid medical condition
•	a history of mental health disorders
•	past experience of, and response to, treatments. 
Be aware when prescribing selective serotonin reuptake inhibitors (SSRIs) of the need to ask about cocaine use when considering drug–drug interactions, and the need to avoid concurrent use of multiple serotonergic drugs. Follow the Medicines and Healthcare products Regulatory Agency (MHRA) safety advice on citalopram.",1.2.7,"2011, amended 2020",,,,,,,,
"For people with GAD who misuse substances, be aware that:
•	substance misuse can be a complication of GAD
•	non-harmful substance use should not be a contraindication to the treatment of GAD
•	harmful and dependent substance misuse should be treated first as this may lead to significant improvement in the symptoms of GAD (see our guidelines on drug misuse and alcohol-use disorders).

Be aware when prescribing SSRIs of the need to ask about cocaine use when considering drug–drug interactions, and the need to avoid concurrent use of multiple serotonergic drugs. Follow the MHRA safety advice on citalopram.",1.2.8,"2011, amended 2020",,,,,,,,
"For people with GAD and a comorbid depressive or other anxiety disorder, treat the primary disorder first (that is, the 1 that is more severe and in which it is more likely that treatment will improve overall functioning).

For guidance on depression, obsessive–compulsive disorder and post-traumatic stress disorder see our guidelines on mental health and behavioural conditions.",1.2.8,"2011, amended 2020",,,,,,,,
"For people with GAD who misuse substances, be aware that:
•	substance misuse can be a complication of GAD
•	non-harmful substance use should not be a contraindication to the treatment of GAD
•	harmful and dependent substance misuse should be treated first as this may lead to significant improvement in the symptoms of GAD (see our guidelines on drug misuse and alcohol-use disorders).

Be aware when prescribing SSRIs of the need to ask about cocaine use when considering drug–drug interactions, and the need to avoid concurrent use of multiple serotonergic drugs. Follow the MHRA safety advice on citalopram. ",1.2.9,"2011, amended 2020",,,,,,,,
"Following assessment and diagnosis of GAD:
•	provide education about the nature of GAD and the options for treatment, including NICE’s information for the public
•	monitor the person’s symptoms and functioning (known as active monitoring). 

This is because education and active monitoring may improve less severe presentations and avoid the need for further interventions. ",1.2.10,2011,,,,,,,,
Discuss the use of over-the-counter medications and preparations with people with GAD. Explain the potential for interactions with other prescribed and over-the-counter medications and the lack of evidence to support their safe use. ,1.2.11,2011,,,,,,,,
Step 2: Diagnosed GAD that has not improved after step 1 interventions,,,,,,,,,,
Low-intensity psychological interventions for GAD,,,,,,,,,,
"For people with GAD whose symptoms have not improved after education and active monitoring in step 1, offer one or more of the following as a first-line intervention, guided by the person’s preference: 
•	individual non-facilitated self-help 
•	individual guided self-help
•	psychoeducational groups. ",1.2.12,2011,,,,,,,,
